受访编号,数据性质,样本组,每周时长,平台数,切换频率,手机,C4_换平台重新配对,C4_按键符号不一致,C4_一柄只能伺候一平台,C4_摇杆漂移,C4_按键失灵,C4_无线断连,C4_续航不足,C4_改键软件难用,D1a_兴趣,D1b_最吸引,D1c_怀疑点,D2_599,D2_639,D2_699,D2_799,D2_899,E3_重量上限,F1_NFC
S131,模拟,B PC 为主,7–14 小时,2 个,每周,Android,4,3,4,5,3,4,3,5,说不清,一键切换,手感需实机验证,可能买,说不清,可能不买,可能不买,可能不买,250–300g,偶尔
S132,模拟,B PC 为主,3–7 小时,4 个及以上,每周,iPhone 15 及以后,5,3,4,5,4,5,3,2,非常感兴趣,一键切换,价格偏高,一定买,一定买,一定买,一定买,一定买,200–250g,没有 Switch
S133,模拟,B PC 为主,3–7 小时,2 个,每周,iPhone 15 及以后,4,3,4,4,5,3,4,5,非常感兴趣,一键切换,无明显怀疑,一定买,可能买,可能买,可能买,说不清,200g 以下,没有 Switch
S134,模拟,B PC 为主,7–14 小时,2 个,每月,iPhone 15 及以后,5,3,3,5,3,4,4,3,说不清,一键切换,续航,可能不买,一定不买,一定不买,一定不买,一定不买,250–300g,从不用
S135,模拟,B PC 为主,7–14 小时,2 个,每天,iPhone 14 及以下,5,2,4,5,4,3,4,4,比较感兴趣,三模连接,手感需实机验证,一定买,一定买,一定买,可能买,可能买,200–250g,没有 Switch
S136,模拟,B PC 为主,7–14 小时,4 个及以上,每周,iPhone 14 及以下,4,5,3,3,3,4,3,4,比较感兴趣,一键切换,授权与兼容性,可能买,可能买,可能买,可能买,说不清,200–250g,偶尔
S137,模拟,B PC 为主,14 小时以上,1 个,每天,Android,5,3,1,5,5,3,4,4,比较感兴趣,一键切换,无明显怀疑,一定买,一定买,一定买,一定买,一定买,250–300g,没有 Switch
S138,模拟,B PC 为主,7–14 小时,3 个,每天,Android,4,2,4,3,5,3,5,5,非常感兴趣,不用重新改键,品控与耐用,一定买,一定买,一定买,一定买,一定买,250–300g,没有 Switch
S139,模拟,B PC 为主,7–14 小时,4 个及以上,几乎不,其他,4,3,4,3,2,3,4,4,非常感兴趣,一键切换,无明显怀疑,一定买,一定买,一定买,一定买,可能买,200g 以下,经常
S140,模拟,B PC 为主,14 小时以上,4 个及以上,几乎不,Android,5,3,5,5,4,4,5,4,非常感兴趣,不用重新改键,价格偏高,可能买,可能买,说不清,说不清,可能不买,250–300g,从不用
S141,模拟,B PC 为主,3–7 小时,4 个及以上,每周,iPhone 14 及以下,3,5,5,3,5,4,3,2,不太感兴趣,三模连接,续航,说不清,可能不买,可能不买,可能不买,可能不买,250–300g,经常
S142,模拟,B PC 为主,3–7 小时,2 个,每天,Android,5,3,4,2,3,5,3,4,不太感兴趣,一键切换,品控与耐用,可能不买,一定不买,一定不买,一定不买,一定不买,200–250g,偶尔
S143,模拟,B PC 为主,3–7 小时,2 个,每周,iPhone 15 及以后,5,4,3,5,4,4,3,3,说不清,一键切换,品控与耐用,可能买,可能买,可能买,说不清,说不清,200–250g,经常
S144,模拟,B PC 为主,3–7 小时,3 个,每天多次,iPhone 15 及以后,4,5,5,5,4,3,3,2,说不清,都不吸引,手感需实机验证,一定买,可能买,可能买,可能买,说不清,200–250g,偶尔
S145,模拟,B PC 为主,14 小时以上,3 个,每天,iPhone 15 及以后,4,2,5,4,3,4,5,4,比较感兴趣,一键切换,手感需实机验证,一定买,一定买,一定买,可能买,可能买,250–300g,从不用
S146,模拟,B PC 为主,7–14 小时,3 个,每天,iPhone 15 及以后,4,4,4,4,3,4,2,3,比较感兴趣,充电底座,无明显怀疑,可能买,可能买,可能买,说不清,说不清,无所谓,从不用
S147,模拟,B PC 为主,7–14 小时,4 个及以上,每天,iPhone 14 及以下,5,4,3,5,4,4,3,4,说不清,不用重新改键,手感需实机验证,可能买,可能买,可能买,说不清,说不清,200g 以下,没有 Switch
S148,模拟,B PC 为主,3–7 小时,1 个,每天,iPhone 15 及以后,4,4,3,5,4,4,3,4,非常感兴趣,三模连接,续航,一定买,一定买,可能买,可能买,可能买,250–300g,偶尔
S149,模拟,B PC 为主,14 小时以上,4 个及以上,每周,iPhone 15 及以后,3,2,3,2,4,4,3,3,说不清,不用重新改键,授权与兼容性,说不清,可能不买,可能不买,可能不买,可能不买,200–250g,偶尔
S150,模拟,B PC 为主,7–14 小时,3 个,每周,Android,3,3,4,5,2,4,3,4,比较感兴趣,一键切换,品控与耐用,可能买,可能买,可能买,说不清,说不清,200–250g,偶尔
S151,模拟,B PC 为主,7–14 小时,2 个,每周,iPhone 14 及以下,5,5,2,2,4,3,2,4,说不清,一键切换,续航,可能买,说不清,说不清,可能不买,可能不买,250–300g,从不用
S152,模拟,B PC 为主,14 小时以上,4 个及以上,每月,iPhone 15 及以后,5,4,5,3,2,4,4,5,说不清,不用重新改键,品控与耐用,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S153,模拟,B PC 为主,14 小时以上,3 个,每天多次,iPhone 15 及以后,5,4,3,4,4,3,4,2,比较感兴趣,一键切换,手感需实机验证,可能买,可能买,可能买,说不清,可能不买,200g 以下,没有 Switch
S154,模拟,B PC 为主,3–7 小时,2 个,每天,iPhone 14 及以下,5,3,4,4,5,4,5,3,非常感兴趣,一键切换,续航,一定买,一定买,一定买,一定买,一定买,250–300g,偶尔
S155,模拟,B PC 为主,7–14 小时,2 个,每周,iPhone 15 及以后,3,2,2,4,4,3,4,2,不太感兴趣,都不吸引,无明显怀疑,可能买,说不清,说不清,可能不买,可能不买,200–250g,从不用
S156,模拟,B PC 为主,7–14 小时,2 个,每天,iPhone 14 及以下,3,3,4,5,5,5,1,3,说不清,一键切换,手感需实机验证,可能买,可能买,可能买,可能买,说不清,200–250g,没有 Switch
S157,模拟,B PC 为主,7–14 小时,1 个,几乎不,Android,4,5,4,4,4,4,4,3,比较感兴趣,三模连接,手感需实机验证,一定买,一定买,一定买,一定买,一定买,200–250g,经常
S158,模拟,B PC 为主,3–7 小时,2 个,每月,iPhone 15 及以后,5,3,5,3,4,3,3,3,非常感兴趣,一键切换,手感需实机验证,一定买,一定买,一定买,可能买,可能买,200g 以下,从不用
S159,模拟,B PC 为主,3–7 小时,4 个及以上,每周,iPhone 15 及以后,4,3,5,4,5,3,3,3,非常不感兴趣,不用重新改键,手感需实机验证,可能买,说不清,可能不买,可能不买,可能不买,250–300g,没有 Switch
S160,模拟,B PC 为主,7–14 小时,3 个,每天,iPhone 15 及以后,5,1,5,4,3,5,3,4,说不清,一键切换,品控与耐用,可能买,说不清,说不清,可能不买,可能不买,300g 以上,没有 Switch
S161,模拟,B PC 为主,3–7 小时,3 个,每周,iPhone 15 及以后,5,5,4,4,3,5,3,3,不太感兴趣,不用重新改键,价格偏高,可能不买,可能不买,可能不买,可能不买,一定不买,300g 以上,偶尔
S162,模拟,B PC 为主,14 小时以上,4 个及以上,每周,iPhone 15 及以后,4,5,4,2,4,3,2,4,说不清,三模连接,授权与兼容性,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,从不用
S163,模拟,B PC 为主,7–14 小时,2 个,每周,Android,4,4,4,5,5,4,4,1,说不清,一键切换,价格偏高,说不清,可能不买,可能不买,可能不买,一定不买,250–300g,没有 Switch
S164,模拟,B PC 为主,14 小时以上,2 个,每周,Android,2,5,2,2,4,4,2,4,说不清,三模连接,授权与兼容性,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,从不用
S165,模拟,B PC 为主,3–7 小时,4 个及以上,每天,iPhone 14 及以下,4,4,5,4,4,5,3,3,说不清,不用重新改键,价格偏高,可能买,可能买,可能买,说不清,说不清,250–300g,从不用
S166,模拟,B PC 为主,7–14 小时,2 个,每月,iPhone 14 及以下,4,4,4,4,3,5,4,4,说不清,充电底座,价格偏高,可能买,可能买,说不清,说不清,可能不买,300g 以上,从不用
S167,模拟,B PC 为主,3–7 小时,3 个,每周,iPhone 15 及以后,4,3,4,3,5,3,5,3,说不清,一键切换,手感需实机验证,可能不买,可能不买,可能不买,一定不买,一定不买,250–300g,从不用
S168,模拟,B PC 为主,3–7 小时,2 个,每周,Android,4,5,4,4,3,3,5,3,说不清,都不吸引,授权与兼容性,可能买,说不清,可能不买,可能不买,可能不买,200–250g,从不用
S169,模拟,B PC 为主,3–7 小时,2 个,每月,iPhone 14 及以下,5,4,2,4,4,5,2,5,不太感兴趣,一键切换,手感需实机验证,说不清,可能不买,可能不买,可能不买,可能不买,200–250g,偶尔
S170,模拟,B PC 为主,7–14 小时,2 个,每天,iPhone 14 及以下,4,2,5,3,5,5,4,3,比较感兴趣,都不吸引,续航,一定买,一定买,可能买,可能买,可能买,200–250g,从不用
S171,模拟,B PC 为主,14 小时以上,2 个,每天多次,iPhone 14 及以下,5,2,4,4,4,3,4,4,非常感兴趣,一键切换,授权与兼容性,一定买,一定买,可能买,可能买,可能买,200–250g,经常
S172,模拟,B PC 为主,14 小时以上,3 个,每周,iPhone 15 及以后,4,5,3,4,4,3,3,2,比较感兴趣,可更换键帽布局,授权与兼容性,一定买,可能买,可能买,可能买,说不清,250–300g,从不用
S173,模拟,B PC 为主,3–7 小时,4 个及以上,每天,iPhone 15 及以后,5,3,3,5,3,5,5,5,比较感兴趣,不用重新改键,品控与耐用,可能买,可能买,可能买,可能买,说不清,200–250g,从不用
S174,模拟,B PC 为主,3–7 小时,3 个,每天,Android,4,3,4,4,5,5,4,2,比较感兴趣,不用重新改键,续航,一定买,一定买,一定买,可能买,可能买,250–300g,偶尔
S175,模拟,B PC 为主,7–14 小时,3 个,每天多次,iPhone 14 及以下,5,5,5,5,3,4,4,4,非常感兴趣,一键切换,品控与耐用,一定买,可能买,可能买,可能买,说不清,200–250g,经常
S176,模拟,B PC 为主,7–14 小时,1 个,几乎不,iPhone 14 及以下,4,3,3,4,4,3,5,2,比较感兴趣,一键切换,续航,可能买,可能买,可能买,说不清,说不清,200g 以下,从不用
S177,模拟,B PC 为主,14 小时以上,3 个,每天多次,iPhone 15 及以后,5,3,3,5,5,4,4,4,说不清,可更换键帽布局,手感需实机验证,可能买,说不清,可能不买,可能不买,可能不买,200–250g,没有 Switch
S178,模拟,B PC 为主,7–14 小时,4 个及以上,每周,iPhone 15 及以后,5,5,5,3,4,3,5,1,不太感兴趣,一键切换,价格偏高,可能买,说不清,可能不买,可能不买,可能不买,250–300g,偶尔
S179,模拟,B PC 为主,14 小时以上,3 个,每天,iPhone 14 及以下,4,4,4,5,5,5,3,2,不太感兴趣,不用重新改键,无明显怀疑,可能买,说不清,说不清,可能不买,可能不买,200–250g,从不用
S180,模拟,B PC 为主,14 小时以上,2 个,每天,Android,4,4,5,4,4,4,3,4,非常感兴趣,不用重新改键,价格偏高,可能买,说不清,说不清,可能不买,可能不买,250–300g,没有 Switch
S181,模拟,C 移动+多平台,14 小时以上,3 个,每天多次,iPhone 15 及以后,4,5,5,3,4,2,3,4,不太感兴趣,一键切换,品控与耐用,可能买,说不清,可能不买,可能不买,可能不买,无所谓,从不用
S182,模拟,C 移动+多平台,3–7 小时,3 个,每天多次,iPhone 15 及以后,3,5,4,4,5,4,5,2,说不清,一键切换,价格偏高,可能买,可能买,说不清,可能不买,可能不买,200–250g,从不用
S183,模拟,C 移动+多平台,7–14 小时,3 个,每天多次,iPhone 15 及以后,5,4,4,3,4,4,4,4,非常感兴趣,一键切换,手感需实机验证,一定买,一定买,一定买,可能买,可能买,250–300g,从不用
S184,模拟,C 移动+多平台,7–14 小时,3 个,每天,iPhone 15 及以后,5,4,4,5,4,3,2,1,非常感兴趣,一键切换,价格偏高,一定买,可能买,可能买,可能买,可能买,250–300g,没有 Switch
S185,模拟,C 移动+多平台,7–14 小时,2 个,几乎不,iPhone 15 及以后,5,4,4,5,3,3,3,5,说不清,一键切换,授权与兼容性,可能买,可能买,说不清,可能不买,可能不买,250–300g,偶尔
S186,模拟,C 移动+多平台,3–7 小时,2 个,每天,iPhone 15 及以后,3,5,4,3,4,2,4,3,不太感兴趣,一键切换,手感需实机验证,可能买,可能买,可能买,说不清,说不清,200–250g,从不用
S187,模拟,C 移动+多平台,14 小时以上,3 个,每天多次,iPhone 15 及以后,4,4,3,3,2,4,5,4,比较感兴趣,一键切换,手感需实机验证,一定买,可能买,可能买,可能买,说不清,200–250g,从不用
S188,模拟,C 移动+多平台,7–14 小时,2 个,每天,iPhone 15 及以后,1,4,3,5,5,2,4,5,说不清,可更换键帽布局,手感需实机验证,可能买,可能买,说不清,说不清,可能不买,200–250g,从不用
S189,模拟,C 移动+多平台,3–7 小时,2 个,每天,iPhone 15 及以后,3,3,5,4,3,2,3,4,非常感兴趣,不用重新改键,无明显怀疑,一定买,一定买,一定买,一定买,一定买,250–300g,偶尔
S190,模拟,C 移动+多平台,7–14 小时,3 个,每天,Android,5,4,3,3,4,4,4,1,说不清,不用重新改键,价格偏高,一定买,一定买,一定买,一定买,可能买,200–250g,从不用
S191,模拟,C 移动+多平台,14 小时以上,3 个,每天多次,其他,5,5,5,3,5,5,3,4,说不清,一键切换,授权与兼容性,可能买,可能买,说不清,说不清,可能不买,200–250g,从不用
S192,模拟,C 移动+多平台,3–7 小时,3 个,每周,Android,3,5,3,3,5,5,4,2,说不清,三模连接,品控与耐用,可能不买,一定不买,一定不买,一定不买,一定不买,250–300g,没有 Switch
S193,模拟,C 移动+多平台,14 小时以上,4 个及以上,每天,Android,5,5,5,4,3,4,4,4,非常感兴趣,一键切换,授权与兼容性,一定买,一定买,一定买,一定买,一定买,200–250g,经常
S194,模拟,C 移动+多平台,14 小时以上,3 个,每天,iPhone 14 及以下,4,5,4,4,4,5,4,4,说不清,三模连接,授权与兼容性,可能买,可能买,可能买,说不清,说不清,250–300g,经常
S195,模拟,C 移动+多平台,7–14 小时,4 个及以上,每周,iPhone 15 及以后,5,4,2,4,5,4,3,3,说不清,一键切换,无明显怀疑,可能买,说不清,可能不买,可能不买,可能不买,200–250g,没有 Switch
S196,模拟,C 移动+多平台,3–7 小时,2 个,每周,其他,3,5,4,5,5,5,3,4,非常不感兴趣,一键切换,手感需实机验证,可能买,可能买,说不清,说不清,可能不买,300g 以上,从不用
S197,模拟,C 移动+多平台,7–14 小时,4 个及以上,每周,iPhone 14 及以下,5,5,4,2,4,4,3,3,非常感兴趣,一键切换,品控与耐用,可能买,可能买,可能买,可能买,说不清,250–300g,从不用
S198,模拟,C 移动+多平台,14 小时以上,2 个,每周,Android,4,3,5,2,4,4,5,3,说不清,三模连接,无明显怀疑,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,没有 Switch
S199,模拟,C 移动+多平台,3–7 小时,3 个,每天,iPhone 15 及以后,5,5,3,4,5,3,3,4,非常感兴趣,不用重新改键,授权与兼容性,一定买,一定买,一定买,一定买,一定买,200–250g,没有 Switch
S200,模拟,C 移动+多平台,14 小时以上,2 个,每天,iPhone 15 及以后,5,5,4,3,5,3,4,4,说不清,不用重新改键,授权与兼容性,可能不买,可能不买,一定不买,一定不买,一定不买,200–250g,从不用
S201,模拟,C 移动+多平台,14 小时以上,2 个,每天多次,iPhone 14 及以下,5,4,4,4,5,4,3,5,比较感兴趣,一键切换,手感需实机验证,一定买,一定买,一定买,一定买,一定买,250–300g,偶尔
S202,模拟,C 移动+多平台,14 小时以上,3 个,每周,Android,5,4,4,3,3,3,5,2,不太感兴趣,不用重新改键,价格偏高,一定不买,一定不买,一定不买,一定不买,一定不买,250–300g,从不用
S203,模拟,C 移动+多平台,14 小时以上,3 个,每周,iPhone 14 及以下,3,4,4,3,4,4,5,4,比较感兴趣,不用重新改键,无明显怀疑,可能不买,可能不买,可能不买,可能不买,一定不买,200–250g,从不用
S204,模拟,C 移动+多平台,3–7 小时,3 个,每天,Android,3,3,3,4,5,4,4,3,比较感兴趣,三模连接,手感需实机验证,一定买,一定买,一定买,一定买,一定买,200g 以下,经常
S205,模拟,C 移动+多平台,7–14 小时,2 个,每天,iPhone 14 及以下,4,2,4,4,5,4,4,3,比较感兴趣,可更换键帽布局,手感需实机验证,可能买,可能买,可能买,说不清,说不清,无所谓,没有 Switch
S206,模拟,C 移动+多平台,14 小时以上,1 个,每周,Android,5,3,4,4,4,5,3,3,不太感兴趣,都不吸引,手感需实机验证,可能买,可能买,可能买,说不清,说不清,200–250g,没有 Switch
S207,模拟,C 移动+多平台,3–7 小时,4 个及以上,每天多次,iPhone 14 及以下,4,5,5,5,5,4,3,3,不太感兴趣,可更换键帽布局,价格偏高,可能买,可能买,说不清,说不清,可能不买,200–250g,从不用
S208,模拟,C 移动+多平台,14 小时以上,3 个,每周,Android,5,5,3,4,3,4,4,3,比较感兴趣,不用重新改键,品控与耐用,一定买,一定买,可能买,可能买,说不清,200–250g,没有 Switch
S209,模拟,C 移动+多平台,14 小时以上,2 个,每天,iPhone 14 及以下,4,4,3,4,4,4,3,4,不太感兴趣,充电底座,续航,说不清,可能不买,可能不买,可能不买,可能不买,250–300g,从不用
S210,模拟,C 移动+多平台,3–7 小时,3 个,每天多次,iPhone 14 及以下,5,2,5,3,4,5,3,2,比较感兴趣,不用重新改键,手感需实机验证,可能不买,可能不买,一定不买,一定不买,一定不买,250–300g,经常
S211,模拟,C 移动+多平台,3–7 小时,3 个,每天,iPhone 15 及以后,5,5,5,4,4,2,5,3,比较感兴趣,一键切换,授权与兼容性,一定买,可能买,可能买,可能买,说不清,200–250g,从不用
S212,模拟,C 移动+多平台,3–7 小时,3 个,每天多次,iPhone 15 及以后,5,3,5,5,4,5,3,2,不太感兴趣,三模连接,价格偏高,可能不买,可能不买,一定不买,一定不买,一定不买,200–250g,从不用
S213,模拟,C 移动+多平台,3–7 小时,4 个及以上,每天,iPhone 14 及以下,4,4,5,5,3,3,5,5,非常不感兴趣,一键切换,手感需实机验证,可能买,可能买,说不清,可能不买,可能不买,200–250g,偶尔
S214,模拟,C 移动+多平台,14 小时以上,4 个及以上,每天多次,iPhone 15 及以后,5,5,4,4,3,5,5,3,比较感兴趣,可更换键帽布局,无明显怀疑,可能买,可能买,可能买,可能买,说不清,200–250g,没有 Switch
S215,模拟,C 移动+多平台,7–14 小时,2 个,每天多次,iPhone 14 及以下,4,2,4,3,5,3,3,4,说不清,一键切换,手感需实机验证,可能不买,可能不买,可能不买,一定不买,一定不买,无所谓,从不用
S216,模拟,C 移动+多平台,7–14 小时,3 个,每天,iPhone 14 及以下,5,4,5,4,3,2,2,4,说不清,一键切换,价格偏高,可能不买,可能不买,一定不买,一定不买,一定不买,250–300g,从不用
S217,模拟,C 移动+多平台,14 小时以上,2 个,每周,iPhone 14 及以下,5,5,5,4,5,4,5,3,比较感兴趣,三模连接,品控与耐用,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,从不用
S218,模拟,C 移动+多平台,7–14 小时,4 个及以上,每天多次,Android,4,3,5,3,3,3,3,2,比较感兴趣,三模连接,续航,一定买,一定买,一定买,一定买,可能买,200–250g,没有 Switch
S219,模拟,C 移动+多平台,7–14 小时,4 个及以上,每周,iPhone 14 及以下,4,4,5,5,5,3,4,3,比较感兴趣,一键切换,续航,可能买,可能买,说不清,说不清,可能不买,200–250g,从不用
S220,模拟,C 移动+多平台,14 小时以上,1 个,每周,Android,3,5,5,3,5,4,4,3,非常感兴趣,一键切换,续航,一定买,一定买,一定买,一定买,可能买,250–300g,经常
S221,模拟,C 移动+多平台,3–7 小时,4 个及以上,每天,iPhone 15 及以后,4,3,4,3,4,5,5,4,比较感兴趣,不用重新改键,价格偏高,一定买,一定买,一定买,可能买,可能买,200–250g,偶尔
S222,模拟,C 移动+多平台,7–14 小时,3 个,每周,iPhone 14 及以下,5,3,3,5,3,4,3,3,非常感兴趣,三模连接,无明显怀疑,一定买,一定买,一定买,可能买,可能买,200–250g,偶尔
S223,模拟,C 移动+多平台,7–14 小时,4 个及以上,每周,iPhone 15 及以后,5,3,1,5,4,5,4,2,说不清,不用重新改键,续航,说不清,可能不买,可能不买,可能不买,可能不买,无所谓,偶尔
S224,模拟,C 移动+多平台,3–7 小时,3 个,每天多次,iPhone 15 及以后,4,4,2,5,4,3,4,4,说不清,一键切换,价格偏高,一定不买,一定不买,一定不买,一定不买,一定不买,200–250g,偶尔
S225,模拟,C 移动+多平台,3–7 小时,2 个,每周,iPhone 15 及以后,5,4,4,5,4,4,4,5,非常感兴趣,不用重新改键,无明显怀疑,一定买,一定买,一定买,一定买,一定买,250–300g,从不用
S226,模拟,C 移动+多平台,7–14 小时,2 个,每天多次,Android,5,5,5,4,5,3,5,3,说不清,不用重新改键,价格偏高,说不清,可能不买,可能不买,可能不买,可能不买,200–250g,没有 Switch
S227,模拟,C 移动+多平台,3–7 小时,2 个,每周,iPhone 14 及以下,4,4,5,3,2,3,2,3,比较感兴趣,一键切换,无明显怀疑,一定买,一定买,一定买,可能买,可能买,200–250g,经常
S228,模拟,C 移动+多平台,14 小时以上,2 个,每天多次,iPhone 15 及以后,5,2,3,5,5,5,2,2,比较感兴趣,一键切换,价格偏高,一定买,一定买,一定买,可能买,可能买,200–250g,偶尔
S229,模拟,C 移动+多平台,7–14 小时,4 个及以上,每周,iPhone 14 及以下,4,3,2,3,3,4,4,2,说不清,不用重新改键,价格偏高,一定买,一定买,一定买,一定买,一定买,无所谓,经常
S230,模拟,C 移动+多平台,3–7 小时,4 个及以上,每周,Android,2,4,5,5,4,4,5,2,说不清,一键切换,续航,可能不买,一定不买,一定不买,一定不买,一定不买,200–250g,从不用
S231,模拟,C 移动+多平台,14 小时以上,4 个及以上,每天多次,Android,5,4,4,4,3,4,4,3,比较感兴趣,不用重新改键,授权与兼容性,一定买,一定买,一定买,可能买,可能买,200–250g,经常
S232,模拟,C 移动+多平台,7–14 小时,3 个,每月,iPhone 15 及以后,4,4,5,3,3,3,5,2,非常感兴趣,一键切换,续航,一定买,一定买,一定买,一定买,一定买,200–250g,偶尔
S233,模拟,C 移动+多平台,7–14 小时,4 个及以上,每天,iPhone 14 及以下,3,5,5,4,4,4,3,4,非常不感兴趣,一键切换,授权与兼容性,可能买,可能买,可能买,说不清,说不清,200–250g,偶尔
S234,模拟,C 移动+多平台,7–14 小时,2 个,每天多次,iPhone 14 及以下,5,5,4,4,5,5,5,3,非常感兴趣,一键切换,价格偏高,可能买,可能买,可能买,可能买,说不清,300g 以上,没有 Switch
S235,模拟,C 移动+多平台,3–7 小时,1 个,每天,Android,4,4,1,5,5,3,4,4,非常感兴趣,一键切换,续航,一定买,一定买,一定买,一定买,一定买,250–300g,经常
S236,模拟,C 移动+多平台,7–14 小时,1 个,每天,iPhone 14 及以下,5,4,5,3,3,5,4,4,比较感兴趣,三模连接,无明显怀疑,可能不买,一定不买,一定不买,一定不买,一定不买,200–250g,偶尔
S237,模拟,C 移动+多平台,14 小时以上,2 个,每天多次,iPhone 14 及以下,5,4,5,3,5,3,2,5,非常感兴趣,一键切换,价格偏高,可能买,说不清,说不清,可能不买,可能不买,250–300g,从不用
S238,模拟,C 移动+多平台,3–7 小时,4 个及以上,每天多次,Android,4,3,4,5,3,4,2,3,比较感兴趣,不用重新改键,手感需实机验证,可能买,可能买,可能买,可能买,说不清,200–250g,没有 Switch
S239,模拟,C 移动+多平台,3–7 小时,2 个,每天,iPhone 15 及以后,2,4,4,4,3,5,5,3,非常感兴趣,一键切换,续航,一定买,一定买,一定买,一定买,可能买,无所谓,从不用
S240,模拟,C 移动+多平台,3–7 小时,2 个,每天多次,Android,5,4,4,4,4,3,3,5,非常不感兴趣,可更换键帽布局,续航,说不清,可能不买,可能不买,可能不买,可能不买,200–250g,从不用
S241,模拟,C 移动+多平台,3–7 小时,4 个及以上,每天,iPhone 15 及以后,5,3,5,4,4,4,5,3,比较感兴趣,一键切换,授权与兼容性,可能买,可能买,可能买,可能买,说不清,300g 以上,从不用
S242,模拟,C 移动+多平台,7–14 小时,4 个及以上,每天,iPhone 15 及以后,5,3,5,2,5,5,4,4,比较感兴趣,一键切换,续航,可能买,可能买,说不清,说不清,可能不买,200–250g,没有 Switch
S243,模拟,C 移动+多平台,7–14 小时,2 个,每天,Android,5,3,2,5,4,3,4,4,说不清,充电底座,续航,可能买,可能买,可能买,说不清,说不清,200g 以下,没有 Switch
S244,模拟,C 移动+多平台,3–7 小时,2 个,每周,iPhone 14 及以下,4,4,3,4,4,4,4,3,不太感兴趣,一键切换,品控与耐用,可能不买,可能不买,可能不买,可能不买,一定不买,200–250g,从不用
S245,模拟,C 移动+多平台,7–14 小时,3 个,每周,Android,4,4,5,3,5,4,3,4,说不清,一键切换,授权与兼容性,一定买,一定买,一定买,一定买,一定买,200–250g,从不用
S246,模拟,C 移动+多平台,7–14 小时,3 个,每天多次,iPhone 14 及以下,5,3,5,5,4,3,4,4,比较感兴趣,一键切换,价格偏高,一定买,一定买,一定买,一定买,一定买,200g 以下,从不用
S247,模拟,C 移动+多平台,7–14 小时,3 个,每天多次,iPhone 14 及以下,3,4,4,3,4,3,5,3,说不清,不用重新改键,手感需实机验证,可能买,可能买,可能买,说不清,说不清,200–250g,偶尔
S248,模拟,C 移动+多平台,7–14 小时,2 个,每月,Android,5,3,3,4,5,5,3,4,非常不感兴趣,一键切换,续航,可能不买,可能不买,可能不买,一定不买,一定不买,250–300g,没有 Switch
S249,模拟,C 移动+多平台,7–14 小时,2 个,每天多次,Android,4,3,4,3,4,3,4,4,比较感兴趣,一键切换,手感需实机验证,说不清,可能不买,可能不买,可能不买,可能不买,200–250g,从不用
S250,模拟,C 移动+多平台,7–14 小时,2 个,每天,iPhone 14 及以下,5,5,4,2,3,4,3,1,不太感兴趣,一键切换,手感需实机验证,可能买,可能买,说不清,可能不买,可能不买,无所谓,从不用
S251,模拟,D 流失用户,3–7 小时,3 个,每天多次,Android,4,4,4,4,3,5,4,4,说不清,不用重新改键,品控与耐用,说不清,说不清,可能不买,可能不买,可能不买,200g 以下,经常
S252,模拟,D 流失用户,3–7 小时,3 个,几乎不,iPhone 15 及以后,4,4,4,5,5,3,5,4,非常不感兴趣,不用重新改键,授权与兼容性,可能不买,可能不买,可能不买,可能不买,可能不买,200–250g,偶尔
S253,模拟,D 流失用户,14 小时以上,4 个及以上,每天多次,iPhone 14 及以下,4,3,3,4,5,4,3,2,比较感兴趣,一键切换,品控与耐用,可能买,说不清,说不清,可能不买,可能不买,200–250g,经常
S254,模拟,D 流失用户,7–14 小时,2 个,每月,Android,5,4,5,4,5,5,4,2,说不清,一键切换,手感需实机验证,可能买,可能买,说不清,说不清,说不清,200–250g,从不用
S255,模拟,D 流失用户,7–14 小时,1 个,每天,Android,5,4,3,4,4,5,3,5,比较感兴趣,都不吸引,无明显怀疑,一定买,可能买,可能买,说不清,说不清,250–300g,经常
S256,模拟,D 流失用户,7–14 小时,3 个,每周,iPhone 15 及以后,4,5,4,2,3,5,2,2,不太感兴趣,都不吸引,授权与兼容性,可能不买,可能不买,可能不买,可能不买,可能不买,250–300g,偶尔
S257,模拟,D 流失用户,3–7 小时,2 个,每周,iPhone 14 及以下,4,3,5,1,3,4,5,4,比较感兴趣,三模连接,品控与耐用,说不清,可能不买,可能不买,可能不买,可能不买,200g 以下,从不用
S258,模拟,D 流失用户,7–14 小时,2 个,每月,iPhone 15 及以后,5,4,4,4,5,4,3,2,比较感兴趣,一键切换,续航,可能买,可能买,可能买,说不清,说不清,200–250g,没有 Switch
S259,模拟,D 流失用户,7–14 小时,1 个,每月,iPhone 15 及以后,5,2,4,3,4,4,3,4,比较感兴趣,一键切换,续航,一定买,一定买,可能买,说不清,说不清,250–300g,从不用
S260,模拟,D 流失用户,3–7 小时,4 个及以上,几乎不,Android,4,5,3,3,4,5,3,3,说不清,都不吸引,价格偏高,可能不买,可能不买,可能不买,可能不买,可能不买,200–250g,从不用
